From,Subject,Snippet,Labels,Has Attachments,Message Length
Typology Paris <no-reply@typology.com>,Votre prescription personnalisée,Découvrez vos résultats ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['UNREAD', 'CATEGORY_UPDATES', 'INBOX']",True,38172
LinkedIn <notifications-noreply@linkedin.com>,Vous apparaissez dans 9 recherches,Des personnes recherchent vos compétences ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['UNREAD', 'CATEGORY_SOCIAL', 'INBOX']",True,30467
Typology Paris <no-reply@typology.com>,Votre prescription est prête,Découvrez votre routine personnalisée ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['UNREAD', 'IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,36211
France travail <Service-candidat@pole-emploi.fr>,"Vous avez reçu un courrier "" Relevé de situation "" dans votre espace francetravail.fr","France Travail Candidat Bonjour, Vous avez reçu un courrier « Relevé de situation » dans votre espace francetravail.fr . Pour consulter le document : 1) Connectez-vous à votre espace personnel à l&#39;","['CATEGORY_UPDATES', 'INBOX']",False,6846
Typology Paris <no-reply@typology.com>,Typologie AE(-) : Ce qu’ils pensent de nos produits,Leurs avis valent toutes les recommandations. ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_PROMOTIONS', 'UNREAD', 'INBOX']",True,41375
Epitech <toulouse@epitech.eu>,Epitech : Toute l'actualité du campus de Toulouse,"Consulter cet email en ligne Epitech : Oui à la Tech ! Epitech • Été 2024 Epitech à Vivatech EPITECH À VIVATECH Comme tous les ans, le salon Viva Technology a réuni la crème de la tech européenne et","['CATEGORY_PERSONAL', 'INBOX']",True,58859
France Travail <pole-emploi@noreply-pole-emploi.fr>,Information : absence de votre conseillère.,"France Travail Candidat Bonjour, Nous vous informons que votre conseillère référente indemnisation, Mme MOUTTAKI sera absente du 26 juillet 2024 au 18 aout 2024 inclus. Durant cette période, pour","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",False,7347
Crazy Factory <info@crazy-factory.com>,Confirmation d’envoi – Votre commande 15914622,"Bonjour PICOT, Nous sommes ravis de t&#39;annoncer que ta commande 15914622 a quitté notre fabrique aujourd&#39;hui et a été remise au transporteur ! En raison de difficultés possibles liées à la","['UNREAD', 'CATEGORY_UPDATES', 'INBOX']",False,40769
Typology Paris <no-reply@typology.com>,Votre prescription est prête,Découvrez votre routine personnalisée ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,36102
Crazy Factory <info@crazy-factory.com>,Votre numéro de commande: 15914622,Confirmation de commande Merci pour votre commande! Bonjour PICOT Nous avons bien reçu l&#39;intégralité de votre paiement. Votre commande sera expédiée au plus vite possible. Vous avez reçu 364 Crazy,"['UNREAD', 'IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",False,81216
